rep,method,k,n,h,value
1,LP0,1,200,0.01,34.90191809561218
1,LP1,1,200,0.01,34.90191809561218
1,SPARR,1,200,0.01,826.5204498087611
1,LP0,1,200,0.03,222.14732227732765
1,LP1,1,200,0.03,4351.941920121551
1,SPARR,1,200,0.03,27.42286478412576
1,LP0,1,200,0.05,31.51540883959827
1,LP1,1,200,0.05,1168.9040357334147
1,SPARR,1,200,0.05,0.8028054470220258
1,LP0,1,200,0.06999999999999999,0.0015336870701814372
1,LP1,1,200,0.06999999999999999,561.0830205621359
1,SPARR,1,200,0.06999999999999999,0.35558843536024337
1,LP0,1,200,0.09,0.01355551776279744
1,LP1,1,200,0.09,153.5533521800294
1,SPARR,1,200,0.09,1.9799855425507016
1,LP0,1,200,0.11,1.1107801858442539
1,LP1,1,200,0.11,92.3149795038998
1,SPARR,1,200,0.11,3.560787747842563
1,LP0,1,200,0.13,1.5988752076333042
1,LP1,1,200,0.13,40.46602014419905
1,SPARR,1,200,0.13,4.961133789934672
1,LP0,1,200,0.15000000000000002,5.831253702957556
1,LP1,1,200,0.15000000000000002,38.73348674053521
1,SPARR,1,200,0.15000000000000002,6.3074508921343835
1,LP0,1,200,0.17,4.683582265965364
1,LP1,1,200,0.17,7.719922752983863
1,SPARR,1,200,0.17,7.658056364357342
1,LP0,1,200,0.19,8.456683535042494
1,LP1,1,200,0.19,9.557099134893638
1,SPARR,1,200,0.19,9.021266951504533
1,LP0,1,200,0.21000000000000002,6.537047123323362
1,LP1,1,200,0.21000000000000002,0.5516039465715612
1,SPARR,1,200,0.21000000000000002,10.384378908886484
1,LP0,1,200,0.23,5.6030189811376525
1,LP1,1,200,0.23,0.23097614641246517
1,SPARR,1,200,0.23,11.723531155130884
1,LP0,1,200,0.25,5.189824947870705
1,LP1,1,200,0.25,0.8980327776769468
1,SPARR,1,200,0.25,13.00819591962366
2,LP0,1,200,0.01,34.90191809561218
2,LP1,1,200,0.01,34.90191809561218
2,SPARR,1,200,0.01,4.3903654349696755
2,LP0,1,200,0.03,20.235705502138977
2,LP1,1,200,0.03,232.5200593974403
2,SPARR,1,200,0.03,4.996509182616429
2,LP0,1,200,0.05,31.51540883959827
2,LP1,1,200,0.05,55.73049409959048
2,SPARR,1,200,0.05,0.08234260634919904
2,LP0,1,200,0.06999999999999999,4.086373036948301
2,LP1,1,200,0.06999999999999999,65.55974243181817
2,SPARR,1,200,0.06999999999999999,2.5281048173411236
2,LP0,1,200,0.09,1.1846458499252277
2,LP1,1,200,0.09,101.61055213828092
2,SPARR,1,200,0.09,5.137893336523052
2,LP0,1,200,0.11,3.47043514844907
2,LP1,1,200,0.11,39.96141408315889
2,SPARR,1,200,0.11,7.407022557207826
2,LP0,1,200,0.13,9.034296710075072
2,LP1,1,200,0.13,30.590314628101538
2,SPARR,1,200,0.13,9.46382929294181
2,LP0,1,200,0.15000000000000002,5.831253702957556
2,LP1,1,200,0.15000000000000002,3.0622016364404057
2,SPARR,1,200,0.15000000000000002,11.348282209935592
2,LP0,1,200,0.17,6.272461106496971
2,LP1,1,200,0.17,0.4752372392680269
2,SPARR,1,200,0.17,13.068293553530303
2,LP0,1,200,0.19,10.117119669736464
2,LP1,1,200,0.19,1.869033107257125
2,SPARR,1,200,0.19,14.625568965426043
2,LP0,1,200,0.21000000000000002,10.4133281816775
2,LP1,1,200,0.21000000000000002,0.19685761164957177
2,SPARR,1,200,0.21000000000000002,16.020136834374462
2,LP0,1,200,0.23,12.146550563965043
2,LP1,1,200,0.23,0.08613263894611409
2,SPARR,1,200,0.23,17.249273466985105
2,LP0,1,200,0.25,14.870542951628844
2,LP1,1,200,0.25,0.12168705806992784
2,SPARR,1,200,0.25,18.30818737647854
3,LP0,1,200,0.01,34.90191809561218
3,LP1,1,200,0.01,34.90191809561218
3,SPARR,1,200,0.01,17.530721174386166
3,LP0,1,200,0.03,20.235705502138977
3,LP1,1,200,0.03,1061.0140452668493
3,SPARR,1,200,0.03,2.4112759087890314
3,LP0,1,200,0.05,4.273468023609417
3,LP1,1,200,0.05,0.8735527545291532
3,SPARR,1,200,0.05,4.204845438105649
3,LP0,1,200,0.06999999999999999,3.7758447468881218
3,LP1,1,200,0.06999999999999999,0.009407896152433539
3,SPARR,1,200,0.06999999999999999,5.97413444967869
3,LP0,1,200,0.09,1.1846458499252277
3,LP1,1,200,0.09,0.5096515152508247
3,SPARR,1,200,0.09,7.894305188440524
3,LP0,1,200,0.11,7.138970653329821
3,LP1,1,200,0.11,4.04513034678173
3,SPARR,1,200,0.11,9.4933601418914
3,LP0,1,200,0.13,9.034296710075072
3,LP1,1,200,0.13,0.24466561701519465
3,SPARR,1,200,0.13,10.611339036829921
3,LP0,1,200,0.15000000000000002,8.130607991033786
3,LP1,1,200,0.15000000000000002,0.86542087559061
3,SPARR,1,200,0.15000000000000002,11.413680482256538
3,LP0,1,200,0.17,12.428988746324423
3,LP1,1,200,0.17,3.0498931444986543e-4
3,SPARR,1,200,0.17,12.108846831164485
3,LP0,1,200,0.19,11.926291024047451
3,LP1,1,200,0.19,1.1820308548197838
3,SPARR,1,200,0.19,12.821569795442855
3,LP0,1,200,0.21000000000000002,11.905054438473726
3,LP1,1,200,0.21000000000000002,3.3672503703143137
3,SPARR,1,200,0.21000000000000002,13.590928115337123
3,LP0,1,200,0.23,13.480232320544157
3,LP1,1,200,0.23,3.1051298306283304
3,SPARR,1,200,0.23,14.403097725052941
3,LP0,1,200,0.25,12.53592755212951
3,LP1,1,200,0.25,6.208924206621687
3,SPARR,1,200,0.25,15.22051799688373
4,LP0,1,200,0.01,34.90191809561218
4,LP1,1,200,0.01,34.90191809561218
4,SPARR,1,200,0.01,34.77744561380148
4,LP0,1,200,0.03,34.90191809561218
4,LP1,1,200,0.03,34.90191809561218
4,SPARR,1,200,0.03,0.3662454445652809
4,LP0,1,200,0.05,3.1446316049381084
4,LP1,1,200,0.05,330.5145708779671
4,SPARR,1,200,0.05,1.0954088100205974
4,LP0,1,200,0.06999999999999999,4.086373036948301
4,LP1,1,200,0.06999999999999999,0.010857299107910149
4,SPARR,1,200,0.06999999999999999,0.4464477645888212
4,LP0,1,200,0.09,1.7457562773040893
4,LP1,1,200,0.09,0.030434997134386483
4,SPARR,1,200,0.09,0.009594370549238753
4,LP0,1,200,0.11,1.885098551685413
4,LP1,1,200,0.11,2.5373201747594814
4,SPARR,1,200,0.11,0.18693945026111802
4,LP0,1,200,0.13,0.22731720185190107
4,LP1,1,200,0.13,10.762518435634309
4,SPARR,1,200,0.13,0.8258856420247479
4,LP0,1,200,0.15000000000000002,0.053676952600412046
